gamma,welfare
0.01,132.6495902
0.05,128.2456381
0.1,124.136602
0.2,117.5328922
0.3,111.8756707
0.4,106.6823162
0.5,101.9924085
0.8,88.32471809
0.9,83.97040396
1,-30.55921257
1.2,-38.22530572
1.5,-70.60686132
2,-111.1198839
2.5,-149.6372436
3,-186.8128886
3.5,-228.111107
4,-261.5956171
4.5,-300.1876665
5,-338.1223776
5.5,-378.048039
6,-415.945452
6.5,-453.8691309
7,-491.6730673
7.5,-531.4984077
8,-569.1123431
8.5,-603.64744
9,-640.9845262
9.5,-679.3246129
10,-714.7448554